frame_nr,latency [ms]
0.0,0.294
1.0,0.305
2.0,0.33
3.0,0.3028
4.0,0.298
5.0,0.2886
6.0,0.29700000000000004
7.0,0.3032
8.0,0.29860000000000003
9.0,0.30179999999999996
10.0,0.30419999999999997
11.0,0.3116
12.0,1.5664000000000002
13.0,0.301
14.0,0.3262
15.0,0.2876
16.0,1.5240000000000002
17.0,0.31100000000000005
18.0,0.2
19.0,0.3122
20.0,0.3032
21.0,0.308
22.0,0.3376
23.0,0.3068
24.0,0.3062
25.0,0.298
26.0,1.5262
27.0,0.2906
28.0,0.2222
29.0,0.3024
30.0,0.2988
31.0,0.30619999999999997
32.0,0.3048
33.0,0.31779999999999997
34.0,0.3014
35.0,0.3032
36.0,0.3064
37.0,0.2984
38.0,0.2984
39.0,0.2904
40.0,0.3014
41.0,0.2944
42.0,0.2998
43.0,0.30779999999999996
44.0,0.302
45.0,0.3094
46.0,1.5162
47.0,0.3048
48.0,0.2958
49.0,0.3302
50.0,0.3406
51.0,0.3614
52.0,0.3032
53.0,0.2996
54.0,0.31639999999999996
55.0,0.3
56.0,1.5236
57.0,0.302
58.0,0.2972
59.0,0.28900000000000003
60.0,0.2994
61.0,0.2992
62.0,0.35
63.0,0.307
64.0,0.2994
65.0,0.30300000000000005
66.0,0.3186
67.0,0.3082
68.0,0.3038
69.0,0.2982
70.0,0.30720000000000003
71.0,0.312
72.0,0.30379999999999996
73.0,0.3044
74.0,0.3166
75.0,0.3054
76.0,0.315
77.0,0.3036
78.0,0.3082
79.0,0.2972
80.0,0.3034
81.0,0.2984
82.0,0.30419999999999997
83.0,0.30999999999999994
84.0,0.30779999999999996
85.0,0.30179999999999996
86.0,0.3034
87.0,0.2964
88.0,0.2976
89.0,1.6056000000000001
90.0,1.471
91.0,0.30579999999999996
92.0,0.3536
93.0,0.3106
94.0,0.2994
95.0,0.3094
96.0,0.2984
97.0,0.297
98.0,0.30860000000000004
99.0,0.28600000000000003
100.0,0.29660000000000003
101.0,0.29619999999999996
102.0,0.306
103.0,0.2994
104.0,0.2984
105.0,0.30300000000000005
106.0,0.3006
107.0,1.5446
108.0,0.3034
109.0,0.2998
110.0,0.3056
111.0,0.3004
112.0,0.29900000000000004
113.0,1.5832000000000002
114.0,0.3004
115.0,0.3
116.0,0.2984
117.0,0.2976
118.0,0.311
119.0,0.36619999999999997
120.0,0.2976
121.0,0.30419999999999997
122.0,0.3066
123.0,0.3008
124.0,0.3048
125.0,0.30460000000000004
126.0,0.303
127.0,0.30619999999999997
128.0,0.3084
129.0,0.2928
130.0,0.29080000000000006
131.0,0.29860000000000003
132.0,0.29560000000000003
133.0,0.2982
134.0,0.309
135.0,0.2934
136.0,0.296
137.0,1.5156
138.0,0.3034
139.0,0.2902
140.0,0.2904
141.0,0.3108
142.0,0.30019999999999997
143.0,0.302
144.0,1.4614
145.0,0.29660000000000003
146.0,0.30720000000000003
147.0,1.5288
148.0,0.2988
149.0,0.2922
150.0,0.2928
151.0,0.2992
152.0,0.2894
153.0,0.2928
154.0,0.29300000000000004
155.0,0.2938
156.0,0.2136
157.0,0.3036
158.0,0.3032
159.0,0.2954
160.0,0.28680000000000005
161.0,0.30179999999999996
162.0,0.2948
163.0,0.2914
164.0,1.5394
165.0,0.3322
166.0,0.32720000000000005
167.0,0.3024
168.0,0.2994
169.0,0.29500000000000004
170.0,0.296
171.0,0.2902
172.0,0.3008
173.0,0.309
174.0,0.2904
175.0,0.30179999999999996
176.0,0.3008
177.0,1.536
178.0,0.2012
179.0,0.3012
180.0,0.2958
181.0,0.2996
182.0,0.3104
183.0,0.3022
184.0,0.29500000000000004
185.0,0.31379999999999997
186.0,0.3
187.0,0.29159999999999997
188.0,0.3024
189.0,0.3056
190.0,0.2906
191.0,1.5316
192.0,0.29460000000000003
193.0,0.30720000000000003
194.0,0.2964
195.0,0.30300000000000005
196.0,0.30300000000000005
197.0,0.293
198.0,0.31520000000000004
199.0,0.2928
200.0,0.29700000000000004
201.0,1.5708
202.0,0.20800000000000002
203.0,0.308
204.0,0.2806
205.0,0.2974
206.0,0.30100000000000005
207.0,0.32599999999999996
208.0,0.3168
209.0,0.3068
210.0,0.3274
211.0,0.2978
212.0,0.309
213.0,0.2942
214.0,0.2858
215.0,0.2948
216.0,0.2876
217.0,0.3014
218.0,1.5352000000000001
219.0,0.3104
220.0,0.2984
221.0,0.29979999999999996
222.0,1.5664
223.0,0.33840000000000003
224.0,0.296
225.0,0.3144
226.0,0.296
227.0,0.2252
228.0,0.30019999999999997
229.0,0.2912
230.0,0.2982
231.0,0.2922
232.0,0.29100000000000004
233.0,0.3048
234.0,0.2958
235.0,0.2958
236.0,0.3114
237.0,0.2924
238.0,1.5433999999999999
239.0,0.2926
240.0,0.2848
241.0,0.29100000000000004
242.0,0.2984
243.0,0.2942
244.0,0.2968
245.0,0.2908
246.0,0.1984
247.0,0.2978
248.0,0.28959999999999997
249.0,0.3008
250.0,0.30979999999999996
251.0,0.2962
252.0,1.5482
253.0,0.31
254.0,0.2986
255.0,1.4542
256.0,0.304
257.0,0.29700000000000004
258.0,0.31260000000000004
259.0,0.3012
260.0,0.3242
261.0,0.305
262.0,0.3032
263.0,0.3036
264.0,0.3096
265.0,0.29779999999999995
266.0,0.3034
267.0,0.3034
268.0,0.301
269.0,0.30300000000000005
270.0,0.3034
271.0,0.35500000000000004
272.0,0.306
273.0,0.3
274.0,0.30779999999999996
275.0,0.3376
276.0,0.301
277.0,0.28680000000000005
278.0,0.312
279.0,0.2974
280.0,0.28500000000000003
281.0,0.292
282.0,0.28159999999999996
283.0,0.2944
284.0,0.2968
285.0,0.28559999999999997
286.0,0.2886
287.0,0.2888
288.0,0.3036
289.0,0.27840000000000004
290.0,0.293
291.0,0.2864
292.0,0.2842
293.0,0.29460000000000003
294.0,0.3032
295.0,0.2956
296.0,0.2946
297.0,0.2996
298.0,0.298
299.0,1.5274
300.0,0.3046
301.0,0.2942
302.0,0.3096
303.0,0.2868
304.0,0.29619999999999996
305.0,0.20180000000000003
306.0,0.3154
307.0,0.30720000000000003
308.0,0.2886
309.0,0.312
310.0,0.2962
311.0,0.2942
312.0,0.298
313.0,0.3172
314.0,0.3008
315.0,0.29660000000000003
316.0,0.28959999999999997
317.0,0.2902
318.0,0.29159999999999997
319.0,0.2888
320.0,0.1978
321.0,0.3026
322.0,0.2952
323.0,1.5358
324.0,0.2984
325.0,0.30460000000000004
326.0,0.3036
327.0,0.2982
328.0,0.4356
329.0,0.294
330.0,0.2998
331.0,0.29660000000000003
332.0,0.3294
333.0,1.5446
334.0,0.3246
335.0,0.3066
336.0,0.2912
337.0,0.321
338.0,0.292
339.0,0.298
340.0,0.2944
341.0,0.2976
342.0,0.30019999999999997
343.0,1.5142000000000002
344.0,0.29059999999999997
345.0,0.3014
346.0,0.2932
347.0,0.2846
348.0,0.2996
349.0,0.2968
350.0,1.451
351.0,0.2904
352.0,0.29100000000000004
353.0,0.2908
354.0,0.2938
355.0,0.3024
356.0,0.2918
357.0,0.3194
358.0,0.28840000000000005
359.0,0.292
360.0,1.5234
361.0,0.28200000000000003
362.0,0.33599999999999997
363.0,0.2182
364.0,0.298
365.0,0.29660000000000003
366.0,0.3382
367.0,0.3056
368.0,0.2898
369.0,0.2986
370.0,0.30720000000000003
371.0,0.2876
372.0,0.29359999999999997
373.0,0.28600000000000003
374.0,0.2934
375.0,0.199
376.0,0.2886
377.0,0.2984
378.0,0.30060000000000003
379.0,0.2948
380.0,0.2934
381.0,0.3056
382.0,0.3022
383.0,0.2914
384.0,0.2918
385.0,0.3054
386.0,0.2902
387.0,1.5474
388.0,0.20140000000000002
389.0,0.2906
390.0,0.2962
391.0,0.2898
392.0,0.292
393.0,0.198
394.0,0.28700000000000003
395.0,1.5596
396.0,0.30379999999999996
397.0,0.2898
398.0,0.2992
399.0,0.2948
400.0,1.5308
401.0,0.288
402.0,0.2946
403.0,0.30860000000000004
404.0,0.2924
405.0,0.318
406.0,0.294
407.0,0.2956
408.0,0.30179999999999996
409.0,0.292
410.0,0.2928
411.0,0.2866
412.0,0.2934
413.0,0.296
414.0,0.2892
415.0,0.3
416.0,0.3034
417.0,0.309
418.0,0.302
419.0,0.30979999999999996
420.0,0.2948
421.0,0.3084
422.0,0.3118
423.0,0.3
424.0,0.2892
425.0,0.3028
426.0,0.2928
427.0,0.2888
428.0,0.29100000000000004
429.0,0.3246
430.0,0.3426
431.0,1.5184000000000002
432.0,0.2988
433.0,0.28840000000000005
434.0,0.2972
435.0,0.3024
436.0,0.3074
437.0,0.3106
438.0,0.30060000000000003
439.0,0.32
440.0,0.30019999999999997
441.0,1.5518
442.0,0.2988
443.0,0.29860000000000003
444.0,0.29979999999999996
445.0,0.3316
446.0,0.292
447.0,0.29400000000000004
448.0,0.3076
449.0,0.3052
450.0,0.28680000000000005
451.0,1.546
452.0,0.2964
453.0,0.2914
454.0,0.2968
455.0,0.2998
456.0,0.30779999999999996
457.0,0.2926
458.0,0.3028
459.0,0.2998
460.0,0.2958
461.0,1.527
462.0,0.294
463.0,0.2996
464.0,0.29860000000000003
465.0,0.308
466.0,0.304
467.0,0.294
468.0,0.3016
469.0,0.3054
470.0,0.30779999999999996
471.0,0.29300000000000004
472.0,0.30920000000000003
473.0,0.2982
474.0,0.29560000000000003
475.0,0.3062
476.0,0.3036
477.0,0.3048
478.0,0.2856
479.0,0.21459999999999999
480.0,0.2932
481.0,0.2932
482.0,0.2892
483.0,0.32880000000000004
484.0,0.2098
485.0,0.2866
486.0,0.2992
487.0,0.2992
