throughput,frame_nr,pkt_nr,n_elements
8,107,16454,128
8,107,16493,128
8,107,16531,6
8,108,16607,128
8,108,16646,128
8,109,16760,128
8,109,16799,128
8,109,16837,6
8,110,16914,128
8,110,16952,128
8,110,16991,4
8,111,17067,128
8,111,17106,128
8,111,17145,8
8,112,17221,128
8,112,17260,128
8,112,17298,7
8,113,17375,128
8,113,17414,128
8,113,17452,5
8,114,17529,128
8,114,17567,128
8,114,17606,7
8,115,17682,128
8,115,17721,128
8,115,17760,15
8,116,17836,128
8,116,17875,128
8,116,17913,5
8,117,17990,128
8,117,18028,128
8,117,18067,13
8,118,18143,128
8,118,18182,128
8,118,18221,12
8,119,18297,128
8,119,18336,128
8,119,18375,10
8,120,18451,128
8,120,18490,128
8,120,18528,16
8,121,18605,128
8,121,18643,128
8,121,18682,8
8,122,18758,128
8,122,18797,128
8,122,18836,10
8,123,18912,128
8,123,18951,128
8,124,19065,128
8,124,19103,128
8,124,19142,11
8,125,19218,128
8,125,19257,128
8,125,19296,8
8,126,19372,128
8,126,19411,128
8,126,19449,13
8,127,19526,128
8,127,19564,128
8,127,19603,11
8,128,19679,128
8,128,19718,128
8,128,19757,3
8,129,19833,128
8,129,19872,128
8,129,19911,8
8,130,19987,128
8,130,20026,128
8,130,20064,13
8,131,20141,128
8,131,20179,128
8,131,20218,9
8,132,20294,128
8,132,20333,128
8,132,20372,10
8,133,20448,128
8,133,20487,128
8,133,20525,11
8,134,20602,128
8,134,20640,128
8,134,20679,6
8,135,20755,128
8,135,20794,128
8,135,20833,9
8,136,20909,128
8,136,20948,128
8,136,20987,10
8,137,21063,128
8,137,21102,128
8,137,21140,12
8,138,21216,128
8,138,21255,128
8,138,21294,12
8,139,21370,128
8,139,21409,128
8,139,21448,14
8,140,21524,128
8,140,21563,128
8,140,21601,13
8,141,21678,128
8,141,21716,128
8,141,21755,10
8,142,21831,128
8,142,21870,128
8,142,21909,14
8,143,21985,128
8,143,22024,128
8,143,22063,10
8,144,22139,128
8,144,22178,128
8,144,22216,12
8,145,22292,128
8,145,22331,128
8,145,22370,8
8,146,22446,128
8,146,22485,128
8,146,22524,9
8,147,22600,128
8,147,22639,128
8,147,22677,12
8,148,22753,128
8,148,22792,128
8,148,22831,9
8,149,22907,128
8,149,22946,128
8,149,22985,8
8,150,23061,128
8,150,23100,128
8,151,23214,128
8,151,23252,128
8,151,23291,13
8,152,23367,128
8,152,23406,128
8,152,23445,12
8,153,23521,128
8,153,23560,128
8,153,23599,6
8,154,23675,128
8,154,23714,128
8,154,23752,10
8,155,23828,128
8,155,23867,128
8,155,23906,11
8,156,23982,128
8,156,24021,128
8,156,24060,10
8,157,24136,128
8,157,24175,128
8,157,24213,7
8,158,24289,128
8,158,24328,128
8,158,24367,8
8,159,24443,128
8,159,24482,128
8,159,24521,13
8,160,24597,128
8,160,24636,128
8,160,24674,10
8,161,24751,128
8,161,24789,128
8,161,24828,9
8,162,24904,128
8,162,24943,128
8,162,24982,13
8,163,25058,128
8,163,25097,128
8,163,25135,3
8,164,25212,128
8,164,25251,128
8,164,25289,3
8,165,25365,128
8,165,25404,128
8,165,25443,12
8,166,25519,128
8,166,25558,128
8,166,25597,10
8,167,25673,128
8,167,25712,128
8,167,25750,6
8,168,25827,128
8,168,25865,128
8,168,25904,9
8,169,25980,128
8,169,26019,128
8,169,26058,12
8,170,26134,128
8,170,26173,128
8,170,26211,8
8,171,26288,128
8,171,26326,128
8,171,26365,6
8,172,26441,128
8,172,26480,128
8,172,26519,12
8,173,26595,128
8,173,26634,128
8,173,26673,11
8,174,26749,128
8,174,26788,128
8,174,26826,10
8,175,26903,128
8,175,26941,128
8,175,26980,8
8,176,27056,128
8,176,27095,128
8,176,27134,9
8,177,27210,128
8,177,27249,128
8,177,27287,5
8,178,27363,128
8,178,27402,128
8,178,27441,10
8,179,27517,128
8,179,27556,128
8,179,27595,12
