sample,frame_nr,latency [ms]
3.0,0.0,47.704
3.0,1.0,0.312
3.0,2.0,46.428000000000004
3.0,3.0,47.731
3.0,4.0,47.719
3.0,5.0,46.491
3.0,6.0,47.729
3.0,7.0,0.294
3.0,8.0,0.303
3.0,9.0,47.728
3.0,10.0,47.719
3.0,11.0,47.656
3.0,12.0,47.762
3.0,13.0,47.647
3.0,14.0,47.681000000000004
3.0,15.0,46.518
3.0,16.0,47.741
3.0,17.0,47.727000000000004
3.0,18.0,47.674
3.0,19.0,47.730000000000004
3.0,20.0,47.732
3.0,21.0,47.714
3.0,22.0,46.480000000000004
3.0,23.0,47.719
3.0,24.0,47.721000000000004
3.0,25.0,47.649
3.0,26.0,47.719
3.0,27.0,47.706
3.0,28.0,46.480000000000004
3.0,29.0,47.722
3.0,30.0,47.656
3.0,31.0,47.704
3.0,32.0,46.499
3.0,33.0,47.741
3.0,34.0,47.656
3.0,35.0,46.504
3.0,36.0,47.708
3.0,37.0,47.676
3.0,38.0,47.697
3.0,39.0,46.468
3.0,40.0,47.712
3.0,41.0,47.706
3.0,42.0,46.449
3.0,43.0,47.731
3.0,44.0,47.71
3.0,45.0,46.492000000000004
3.0,46.0,47.731
3.0,47.0,47.67
3.0,48.0,47.722
3.0,49.0,46.494
3.0,50.0,47.736000000000004
3.0,51.0,47.715
3.0,52.0,46.418
3.0,53.0,47.668
3.0,54.0,47.724000000000004
3.0,55.0,46.496
3.0,56.0,47.746
3.0,57.0,47.728
3.0,58.0,47.661
3.0,59.0,46.421
3.0,60.0,47.803000000000004
3.0,61.0,47.708
3.0,62.0,46.466
3.0,63.0,0.306
3.0,64.0,0.292
3.0,65.0,46.496
3.0,66.0,47.773
3.0,67.0,47.732
3.0,68.0,47.721000000000004
3.0,69.0,46.445
3.0,70.0,47.744
3.0,71.0,47.739000000000004
3.0,72.0,46.513
3.0,73.0,47.72
3.0,74.0,47.746
3.0,75.0,47.693
3.0,76.0,47.739000000000004
3.0,77.0,47.74
3.0,78.0,47.768
3.0,79.0,46.495
3.0,80.0,47.74
3.0,81.0,47.733000000000004
3.0,82.0,47.736000000000004
3.0,83.0,46.497
3.0,84.0,47.76
3.0,85.0,0.322
3.0,86.0,47.712
3.0,87.0,47.669000000000004
3.0,88.0,46.514
3.0,89.0,47.75
3.0,90.0,47.749
3.0,91.0,47.822
3.0,92.0,47.677
3.0,93.0,0.316
3.0,94.0,47.745
3.0,95.0,47.737
3.0,96.0,46.508
3.0,97.0,47.734
3.0,98.0,47.67
3.0,99.0,0.321
3.0,100.0,47.742000000000004
3.0,101.0,47.737
3.0,102.0,47.731
3.0,103.0,46.437
3.0,104.0,47.67
3.0,105.0,47.735
3.0,106.0,46.485
3.0,107.0,47.721000000000004
3.0,108.0,0.333
3.0,109.0,46.508
3.0,110.0,47.717
3.0,111.0,47.728
3.0,112.0,46.509
3.0,113.0,47.784
3.0,114.0,47.65
3.0,115.0,47.669000000000004
3.0,116.0,46.502
3.0,117.0,47.752
3.0,118.0,47.742000000000004
3.0,119.0,47.728
3.0,120.0,46.444
3.0,121.0,47.748
3.0,122.0,47.739000000000004
3.0,123.0,0.298
3.0,124.0,47.75
3.0,125.0,47.668
3.0,126.0,46.494
3.0,127.0,47.749
3.0,128.0,47.756
3.0,129.0,47.765
3.0,130.0,46.527
3.0,131.0,47.673
3.0,132.0,47.681000000000004
3.0,133.0,46.486000000000004
3.0,134.0,47.709
3.0,135.0,47.705
3.0,136.0,47.716
3.0,137.0,47.677
3.0,138.0,47.721000000000004
3.0,139.0,47.71
3.0,140.0,46.483000000000004
3.0,141.0,47.74
3.0,142.0,47.736000000000004
3.0,143.0,47.673
3.0,144.0,47.749
3.0,145.0,47.741
3.0,146.0,47.713
3.0,147.0,47.731
3.0,148.0,47.685
3.0,149.0,47.727000000000004
3.0,150.0,0.323
3.0,151.0,47.752
3.0,152.0,47.717
3.0,153.0,47.735
3.0,154.0,46.411
3.0,155.0,47.691
3.0,156.0,47.731
3.0,157.0,47.75
3.0,158.0,47.726
3.0,159.0,47.685
3.0,160.0,46.504
3.0,161.0,47.733000000000004
3.0,162.0,47.745
3.0,163.0,46.508
3.0,164.0,47.733000000000004
3.0,165.0,47.681000000000004
3.0,166.0,47.730000000000004
3.0,167.0,46.493
3.0,168.0,47.741
3.0,169.0,47.734
3.0,170.0,46.495
3.0,171.0,47.683
3.0,172.0,47.743
3.0,173.0,47.725
3.0,174.0,46.478
3.0,175.0,47.808
3.0,176.0,47.657000000000004
3.0,177.0,47.744
3.0,178.0,47.69
3.0,179.0,47.756
3.0,180.0,46.505
3.0,181.0,47.75
3.0,182.0,47.674
3.0,183.0,47.734
3.0,184.0,46.481
3.0,185.0,47.748
3.0,186.0,47.724000000000004
3.0,187.0,46.508
3.0,188.0,47.714
3.0,189.0,47.728
3.0,190.0,46.461
3.0,191.0,47.715
3.0,192.0,47.743
3.0,193.0,47.67
3.0,194.0,46.677
3.0,195.0,47.738
3.0,196.0,47.72
3.0,197.0,47.729
3.0,198.0,46.493
3.0,199.0,47.682
3.0,200.0,0.325
3.0,201.0,47.758
3.0,202.0,47.746
3.0,203.0,47.734
3.0,204.0,46.516
3.0,205.0,47.68
3.0,206.0,47.738
3.0,207.0,46.512
3.0,208.0,0.381
3.0,209.0,47.766
3.0,210.0,47.681000000000004
3.0,211.0,46.508
3.0,212.0,47.748
3.0,213.0,47.805
3.0,214.0,46.493
3.0,215.0,47.745
3.0,216.0,47.675000000000004
3.0,217.0,46.502
3.0,218.0,47.75
3.0,219.0,47.741
3.0,220.0,47.742000000000004
3.0,221.0,46.443
3.0,222.0,47.703
3.0,223.0,47.741
3.0,224.0,47.731
3.0,225.0,46.499
