sample,frame_nr,latency [ms]
2.0,0.0,47.733000000000004
2.0,1.0,0.334
2.0,2.0,46.533
2.0,3.0,47.675000000000004
2.0,4.0,47.723
2.0,5.0,46.495
2.0,6.0,47.74
2.0,7.0,0.321
2.0,8.0,0.315
2.0,9.0,47.744
2.0,10.0,47.736000000000004
2.0,11.0,47.738
2.0,12.0,47.748
2.0,13.0,47.667
2.0,14.0,47.674
2.0,15.0,46.446
2.0,16.0,47.743
2.0,17.0,47.717
2.0,18.0,47.730000000000004
2.0,19.0,47.741
2.0,20.0,47.675000000000004
2.0,21.0,47.732
2.0,22.0,46.748
2.0,23.0,47.744
2.0,24.0,47.728
2.0,25.0,47.730000000000004
2.0,26.0,47.803000000000004
2.0,27.0,47.748
2.0,28.0,46.506
2.0,29.0,47.75
2.0,30.0,47.736000000000004
2.0,31.0,47.667
2.0,32.0,46.505
2.0,33.0,47.72
2.0,34.0,47.738
2.0,35.0,46.504
2.0,36.0,47.682
2.0,37.0,47.67
2.0,38.0,47.761
2.0,39.0,46.491
2.0,40.0,47.719
2.0,41.0,47.721000000000004
2.0,42.0,46.506
2.0,43.0,47.727000000000004
2.0,44.0,47.735
2.0,45.0,46.489000000000004
2.0,46.0,47.767
2.0,47.0,47.738
2.0,48.0,47.678000000000004
2.0,49.0,46.508
2.0,50.0,47.742000000000004
2.0,51.0,47.737
2.0,52.0,46.501
2.0,53.0,47.738
2.0,54.0,47.676
2.0,55.0,46.553000000000004
2.0,56.0,47.742000000000004
2.0,57.0,47.744
2.0,58.0,47.723
2.0,59.0,46.439
2.0,60.0,47.725
2.0,61.0,47.732
2.0,62.0,46.504
2.0,63.0,0.40700000000000003
2.0,64.0,0.325
2.0,65.0,46.411
2.0,66.0,47.705
2.0,67.0,47.71
2.0,68.0,47.675000000000004
2.0,69.0,46.46
2.0,70.0,47.654
2.0,71.0,47.642
2.0,72.0,46.475
2.0,73.0,47.743
2.0,74.0,47.727000000000004
2.0,75.0,47.701
2.0,76.0,47.703
2.0,77.0,47.676
2.0,78.0,47.725
