frame_nr,latency [ms]
0.0,0.214
1.0,0.291
2.0,0.306
3.0,0.304
4.0,0.28300000000000003
5.0,0.298
6.0,0.313
7.0,0.28800000000000003
8.0,0.302
9.0,0.304
10.0,0.304
11.0,0.298
12.0,1.572
13.0,0.309
14.0,0.279
15.0,0.28
16.0,1.556
17.0,0.304
18.0,0.199
19.0,0.28400000000000003
20.0,0.301
21.0,0.305
22.0,0.295
23.0,0.3
24.0,0.28
25.0,0.28800000000000003
26.0,1.594
27.0,0.274
28.0,0.20500000000000002
29.0,0.198
30.0,0.298
31.0,0.278
32.0,0.28700000000000003
33.0,0.28200000000000003
34.0,0.28400000000000003
35.0,0.302
36.0,0.28600000000000003
37.0,0.309
38.0,0.276
39.0,0.272
40.0,0.265
41.0,0.303
42.0,0.276
43.0,0.27
44.0,0.28500000000000003
45.0,0.306
46.0,0.309
47.0,0.275
48.0,0.3
49.0,0.291
50.0,0.28200000000000003
51.0,0.28200000000000003
52.0,0.281
53.0,0.298
54.0,0.302
55.0,0.306
56.0,1.553
57.0,0.31
58.0,0.292
59.0,0.291
60.0,0.302
61.0,0.321
62.0,0.303
63.0,0.289
64.0,0.281
65.0,0.279
66.0,0.306
67.0,0.302
68.0,0.279
69.0,0.281
70.0,0.28600000000000003
71.0,0.281
72.0,0.307
73.0,0.304
74.0,0.28300000000000003
75.0,0.28800000000000003
76.0,1.567
77.0,0.294
78.0,0.3
79.0,0.302
80.0,0.305
81.0,0.312
82.0,0.324
83.0,0.301
84.0,0.302
85.0,0.292
86.0,0.299
87.0,0.279
88.0,0.291
89.0,1.514
90.0,1.439
91.0,0.28700000000000003
92.0,0.317
93.0,0.315
94.0,0.317
95.0,0.318
96.0,0.28600000000000003
97.0,0.32
98.0,0.312
99.0,0.306
100.0,0.294
101.0,0.318
102.0,0.323
103.0,0.319
104.0,0.316
105.0,0.317
106.0,0.291
107.0,1.5110000000000001
108.0,0.20400000000000001
109.0,0.28200000000000003
110.0,0.28500000000000003
111.0,0.297
112.0,0.28800000000000003
113.0,1.487
114.0,0.278
115.0,0.28
116.0,0.301
117.0,0.28600000000000003
118.0,0.181
119.0,0.277
120.0,0.273
121.0,0.28200000000000003
122.0,0.306
123.0,0.28600000000000003
124.0,0.316
125.0,0.31
126.0,0.292
127.0,0.28200000000000003
128.0,0.272
129.0,0.277
130.0,0.304
131.0,0.362
132.0,0.3
133.0,0.292
134.0,0.303
135.0,0.307
136.0,0.306
137.0,1.528
138.0,0.281
139.0,0.28400000000000003
140.0,0.28600000000000003
141.0,0.291
142.0,0.218
143.0,0.299
144.0,1.491
145.0,0.307
146.0,0.28500000000000003
147.0,1.528
148.0,0.297
149.0,0.314
150.0,0.276
151.0,0.28800000000000003
152.0,0.309
153.0,0.28500000000000003
154.0,0.308
155.0,0.28500000000000003
156.0,0.278
157.0,1.484
158.0,0.292
159.0,0.271
160.0,0.277
161.0,0.281
162.0,0.308
163.0,0.281
164.0,1.572
165.0,0.303
166.0,0.291
167.0,0.295
168.0,0.3
169.0,0.296
170.0,0.28400000000000003
171.0,0.326
172.0,0.301
173.0,0.303
174.0,0.271
175.0,0.297
176.0,0.28500000000000003
177.0,1.561
178.0,0.186
179.0,0.304
180.0,0.28200000000000003
181.0,0.178
182.0,0.28400000000000003
183.0,0.276
184.0,0.28
185.0,0.278
186.0,0.28800000000000003
187.0,0.276
188.0,0.276
189.0,0.28200000000000003
190.0,0.28500000000000003
191.0,1.453
192.0,0.3
193.0,0.301
194.0,0.281
195.0,0.28600000000000003
196.0,0.3
197.0,0.291
198.0,0.3
199.0,0.305
200.0,0.299
201.0,1.566
202.0,0.307
203.0,0.317
204.0,0.294
205.0,0.3
206.0,0.301
207.0,0.305
208.0,0.307
209.0,0.304
210.0,0.299
211.0,0.3
212.0,0.311
213.0,0.314
214.0,0.28
215.0,0.305
216.0,0.289
217.0,0.29
218.0,1.567
219.0,0.294
220.0,0.47700000000000004
221.0,0.298
222.0,1.568
223.0,0.308
224.0,0.3
225.0,0.298
226.0,0.28300000000000003
227.0,0.309
228.0,1.512
229.0,0.294
230.0,0.298
231.0,0.305
232.0,0.28400000000000003
233.0,0.28
234.0,0.278
235.0,0.279
236.0,0.281
237.0,0.28300000000000003
238.0,1.49
239.0,0.291
240.0,0.289
241.0,0.275
242.0,0.269
243.0,0.28200000000000003
244.0,0.28
245.0,0.275
246.0,0.185
247.0,0.292
248.0,0.272
249.0,0.28600000000000003
250.0,0.28200000000000003
251.0,0.293
252.0,1.492
253.0,0.289
254.0,0.28700000000000003
255.0,1.4060000000000001
256.0,0.307
257.0,0.28600000000000003
258.0,0.28800000000000003
259.0,0.303
260.0,0.305
261.0,0.294
262.0,0.309
263.0,0.318
264.0,0.31
265.0,0.29
266.0,0.277
267.0,0.291
268.0,0.329
269.0,0.28500000000000003
270.0,0.28500000000000003
271.0,0.373
272.0,1.456
273.0,0.18
274.0,0.271
275.0,0.275
276.0,0.279
277.0,0.274
278.0,0.293
279.0,0.279
280.0,0.272
281.0,0.28400000000000003
282.0,0.266
283.0,0.276
284.0,0.274
285.0,0.28400000000000003
286.0,0.28500000000000003
287.0,0.325
288.0,0.311
289.0,0.303
290.0,0.315
291.0,0.28200000000000003
292.0,0.272
293.0,0.272
294.0,0.281
295.0,0.301
296.0,0.305
297.0,0.306
298.0,0.29
299.0,1.569
300.0,0.301
301.0,0.28500000000000003
302.0,0.178
303.0,0.271
304.0,0.28
305.0,0.179
306.0,0.28200000000000003
307.0,0.28400000000000003
308.0,0.269
309.0,0.28400000000000003
310.0,0.302
311.0,0.295
312.0,0.299
313.0,0.306
314.0,0.18
315.0,0.28200000000000003
316.0,0.302
317.0,0.292
318.0,0.28200000000000003
319.0,0.296
320.0,0.2
321.0,0.297
322.0,0.302
323.0,1.512
324.0,0.297
325.0,0.308
326.0,0.305
327.0,0.31
328.0,0.28
329.0,0.28500000000000003
330.0,0.276
331.0,0.28200000000000003
332.0,0.28400000000000003
333.0,1.405
334.0,0.181
335.0,0.279
336.0,0.277
337.0,0.297
338.0,0.319
339.0,0.28300000000000003
340.0,0.28300000000000003
341.0,0.277
342.0,0.281
343.0,1.542
344.0,0.28300000000000003
345.0,0.279
346.0,0.277
347.0,0.28300000000000003
348.0,0.28400000000000003
349.0,0.276
350.0,1.429
351.0,0.303
352.0,0.309
353.0,0.315
354.0,0.297
355.0,0.303
356.0,0.377
357.0,0.299
358.0,0.306
359.0,0.297
360.0,1.467
361.0,0.3
362.0,0.307
363.0,0.305
364.0,0.318
365.0,0.318
366.0,1.468
367.0,0.311
368.0,0.32
369.0,0.319
370.0,0.313
371.0,0.294
372.0,0.3
373.0,0.308
374.0,0.326
375.0,0.293
