frame,mean error,min,max
219,0.24322817925555493,1.8915175077849344e-05,1.5170906038586378
141,0.25232980540146793,1.0672656000632053e-05,1.6797686298589338
86,0.2639523111270835,1.4969034829004357e-05,1.6851183361849968
446,0.2482846378236326,1.8712980868695883e-05,1.6824189235328704
94,0.2552024407528502,1.0672656000632053e-05,1.6824189235328704
35,0.24729230824095702,5.4840590920195165e-05,1.5161156491113967
491,0.2547818486718899,1.0672656000632053e-05,1.673519119315495
243,0.24272504295004785,1.0672656000632053e-05,1.6846684340763094
463,0.24544597737799212,8.47786605780998e-05,1.6828688256415583
218,0.2483104126144325,3.382114264116609e-05,1.6842185319676215
496,0.24634054820937198,1.0672656000632053e-05,1.6824189235328704
427,0.2501934946140065,8.441360185484914e-05,1.677969021424183
183,0.24778172457450046,1.4969034829004357e-05,1.6846684340763094
34,0.2682980407941496,5.440412207108336e-05,1.6797686298589338
323,0.2623028143422354,6.0502782642801733e-05,1.6797686298589338
330,0.254061270366869,0.00010804591157065335,1.667719510880744
9,0.2499438206557196,1.9935778045598873e-05,1.5161156491113967
332,0.2464826412043309,3.763280549851089e-05,1.6846684340763094
237,0.25917001533531286,7.437305985129317e-05,1.6846684340763094
522,0.24984095189655364,3.382114264116609e-05,1.6245974776966312
482,0.2555735378004078,0.00019445984241839992,1.6788688256415583
418,0.24785482702994585,1.3721986286574506e-05,1.6837686298589338
295,0.2590027024204627,1.4969034829004357e-05,1.6833187277502462
361,0.25811727256813655,8.974540379469431e-05,1.6784189235328704
278,0.25236931441083604,0.00015955502954390077,1.6788688256415583
392,0.25160528420528944,9.206548186446728e-05,1.6842185319676215
416,0.263180792968096,5.440412207108336e-05,1.6726193150981197
188,0.2410972522784095,3.723363769539412e-05,1.6797686298589338
165,0.2435367719996099,0.00010347191614179518,1.6851183361849968
140,0.2412134521981712,3.6464341527001065e-05,1.516359387798207
325,0.24956658419726255,7.5593511854391e-05,1.6797686298589338
433,0.2502601379368425,1.8915175077849344e-05,1.681969021424183
444,0.24733184607712802,0.00015955502954390077,1.6851183361849968
519,0.25166487464988424,5.3710726223302196e-05,1.6784189235328704
212,0.24783484537955863,5.4840590920195165e-05,1.6784189235328704
123,0.25894852286364056,9.910323429229706e-06,1.5173343425454482
285,0.26248056699972083,1.0672656000632053e-05,1.6846684340763094
206,0.24970866136072714,5.4840590920195165e-05,1.5161156491113967
460,0.25707581408388097,9.147990857716337e-06,1.6770692172068073
106,0.2486206483417835,2.0668122967082425e-05,1.6846684340763094
292,0.2590989671780598,8.441360185484914e-05,1.6851183361849968
391,0.25430340031152054,9.206548186446728e-05,1.6784189235328704
447,0.2500729656428106,1.8712980868695883e-05,1.6793187277502462
20,0.2448516800594618,3.382114264116609e-05,1.5123593877982069
410,0.25716774292565003,3.2296477498250376e-05,1.623044563426016
149,0.25124509255459415,9.147990857716337e-06,1.6846684340763094
481,0.2647462211737545,3.382114264116609e-05,1.6726193150981197
384,0.24638905373316847,8.670059956922271e-05,1.6837686298589338
514,0.24199414424335602,5.31261863181004e-05,1.6851183361849968
335,0.2527958854389704,5.769721262982586e-07,1.6793187277502462
189,0.2428155798090279,1.9935778045598873e-05,1.5118719104245864
489,0.2543355451988232,1.0672656000632053e-05,1.6797686298589338
98,0.256658455852666,2.0668122967082425e-05,1.5126031264850173
197,0.23791259054677336,2.907840063150202e-05,1.516359387798207
297,0.2498317017307087,2.205605486316209e-05,1.6828688256415583
45,0.2418324631126417,1.4969034829004357e-05,1.5168468651718277
234,0.2461909875912938,9.966025328439487e-05,1.6837686298589338
367,0.2643541135482058,1.7943684700399976e-05,1.5168468651718277
284,0.2509558859272319,8.47786605780998e-05,1.6788688256415583
110,0.25354281850046306,5.440412207108336e-05,1.6837686298589338
339,0.2455533381748796,1.0672656000632053e-05,1.6842185319676215
29,0.2554800103734126,1.8915175077849344e-05,1.5130906038586378
187,0.2540844024653052,4.144446835596671e-05,1.6788688256415583
15,0.25048644286263744,1.4969034829004357e-05,1.6851183361849968
341,0.25092421292764283,1.0672656000632053e-05,1.6801694129894318
