sample,frame_nr,latency [ms]
128.0,0.0,3.226
128.0,1.0,0.292
128.0,2.0,3.198
128.0,3.0,3.2800000000000002
128.0,4.0,3.2800000000000002
128.0,5.0,3.125
128.0,6.0,3.234
128.0,7.0,0.291
128.0,8.0,0.28800000000000003
128.0,9.0,3.2760000000000002
128.0,10.0,3.287
128.0,11.0,3.271
128.0,12.0,3.283
128.0,13.0,3.198
128.0,14.0,3.217
128.0,15.0,3.144
128.0,16.0,3.228
128.0,17.0,3.274
128.0,18.0,3.285
128.0,19.0,3.3000000000000003
128.0,20.0,3.2640000000000002
128.0,21.0,3.21
128.0,22.0,3.137
128.0,23.0,3.234
128.0,24.0,3.281
128.0,25.0,3.2840000000000003
128.0,26.0,3.215
128.0,27.0,3.221
128.0,28.0,3.1590000000000003
128.0,29.0,3.216
128.0,30.0,3.279
128.0,31.0,3.286
128.0,32.0,3.206
128.0,33.0,3.294
128.0,34.0,3.198
128.0,35.0,3.145
128.0,36.0,3.227
128.0,37.0,3.226
128.0,38.0,3.204
128.0,39.0,3.205
128.0,40.0,3.278
128.0,41.0,3.283
128.0,42.0,3.192
128.0,43.0,3.201
128.0,44.0,3.251
128.0,45.0,3.1510000000000002
128.0,46.0,3.242
128.0,47.0,3.188
128.0,48.0,3.285
128.0,49.0,3.208
128.0,50.0,3.2560000000000002
128.0,51.0,3.223
128.0,52.0,3.169
128.0,53.0,3.227
128.0,54.0,3.279
128.0,55.0,3.24
128.0,56.0,3.2760000000000002
128.0,57.0,3.2840000000000003
128.0,58.0,3.197
128.0,59.0,3.1310000000000002
128.0,60.0,3.27
128.0,61.0,3.289
128.0,62.0,3.203
128.0,63.0,0.304
128.0,64.0,3.204
128.0,65.0,3.146
128.0,66.0,3.202
128.0,67.0,3.2640000000000002
128.0,68.0,3.176
128.0,69.0,3.189
128.0,70.0,3.314
128.0,71.0,3.298
128.0,72.0,3.129
128.0,73.0,3.244
128.0,74.0,3.197
128.0,75.0,3.278
128.0,76.0,3.294
128.0,77.0,3.241
128.0,78.0,3.297
128.0,79.0,3.182
128.0,80.0,3.24
128.0,81.0,3.244
128.0,82.0,3.232
128.0,83.0,3.219
128.0,84.0,3.294
128.0,85.0,0.291
128.0,86.0,3.235
128.0,87.0,3.233
128.0,88.0,3.168
128.0,89.0,3.229
128.0,90.0,3.239
128.0,91.0,3.266
128.0,92.0,3.31
128.0,93.0,0.296
128.0,94.0,3.293
128.0,95.0,3.202
128.0,96.0,3.164
128.0,97.0,3.239
128.0,98.0,3.3000000000000003
128.0,99.0,0.28
128.0,100.0,3.2680000000000002
128.0,101.0,3.205
128.0,102.0,3.209
128.0,103.0,3.134
128.0,104.0,3.229
128.0,105.0,3.301
128.0,106.0,3.215
128.0,107.0,3.27
128.0,108.0,0.298
128.0,109.0,3.162
128.0,110.0,3.245
128.0,111.0,3.247
128.0,112.0,3.1430000000000002
128.0,113.0,3.21
128.0,114.0,3.289
128.0,115.0,3.269
128.0,116.0,3.145
128.0,117.0,3.215
128.0,118.0,3.234
128.0,119.0,3.262
128.0,120.0,3.226
128.0,121.0,3.281
128.0,122.0,3.277
128.0,123.0,0.28700000000000003
128.0,124.0,3.204
128.0,125.0,3.231
128.0,126.0,3.153
128.0,127.0,3.287
128.0,128.0,3.281
128.0,129.0,3.278
128.0,130.0,3.207
128.0,131.0,3.206
128.0,132.0,3.22
128.0,133.0,3.136
128.0,134.0,3.228
128.0,135.0,3.228
128.0,136.0,3.283
128.0,137.0,3.279
128.0,138.0,3.2800000000000002
128.0,139.0,3.282
128.0,140.0,3.1430000000000002
128.0,141.0,3.287
128.0,142.0,3.2760000000000002
128.0,143.0,3.287
128.0,144.0,3.219
128.0,145.0,3.222
128.0,146.0,3.215
128.0,147.0,3.233
128.0,148.0,3.207
128.0,149.0,3.236
128.0,150.0,0.313
128.0,151.0,3.3000000000000003
128.0,152.0,3.1870000000000003
128.0,153.0,3.259
128.0,154.0,3.161
128.0,155.0,3.201
128.0,156.0,3.19
128.0,157.0,3.306
128.0,158.0,3.282
128.0,159.0,3.2760000000000002
128.0,160.0,3.1390000000000002
128.0,161.0,3.2
128.0,162.0,3.202
128.0,163.0,3.152
128.0,164.0,3.271
128.0,165.0,3.294
128.0,166.0,3.278
128.0,167.0,3.205
128.0,168.0,3.1950000000000003
128.0,169.0,3.1870000000000003
128.0,170.0,3.14
128.0,171.0,3.236
128.0,172.0,3.2680000000000002
128.0,173.0,3.285
128.0,174.0,3.14
128.0,175.0,3.309
128.0,176.0,3.263
128.0,177.0,3.238
128.0,178.0,3.215
128.0,179.0,3.293
128.0,180.0,3.221
128.0,181.0,3.22
128.0,182.0,3.217
128.0,183.0,3.213
128.0,184.0,3.138
128.0,185.0,3.298
128.0,186.0,3.282
128.0,187.0,3.172
128.0,188.0,3.291
128.0,189.0,3.215
128.0,190.0,3.1510000000000002
128.0,191.0,3.213
128.0,192.0,3.206
128.0,193.0,3.205
128.0,194.0,3.223
128.0,195.0,3.277
128.0,196.0,3.297
128.0,197.0,3.194
128.0,198.0,3.1870000000000003
128.0,199.0,3.209
128.0,200.0,0.308
128.0,201.0,3.2760000000000002
128.0,202.0,3.279
128.0,203.0,3.2840000000000003
128.0,204.0,3.184
128.0,205.0,3.2
128.0,206.0,3.219
128.0,207.0,3.153
128.0,208.0,0.303
128.0,209.0,3.2680000000000002
128.0,210.0,3.286
128.0,211.0,3.207
128.0,212.0,3.277
128.0,213.0,3.202
128.0,214.0,3.137
128.0,215.0,3.22
128.0,216.0,3.227
128.0,217.0,3.152
128.0,218.0,3.2920000000000003
128.0,219.0,3.217
128.0,220.0,3.2560000000000002
128.0,221.0,3.176
128.0,222.0,3.2760000000000002
128.0,223.0,3.283
128.0,224.0,3.299
128.0,225.0,3.273
128.0,226.0,3.213
128.0,227.0,3.1430000000000002
128.0,228.0,3.2560000000000002
128.0,229.0,3.2520000000000002
128.0,230.0,3.231
128.0,231.0,3.186
128.0,232.0,3.282
128.0,233.0,3.278
128.0,234.0,3.211
128.0,235.0,3.196
128.0,236.0,3.25
128.0,237.0,3.182
128.0,238.0,3.314
128.0,239.0,3.215
128.0,240.0,3.2640000000000002
128.0,241.0,3.14
128.0,242.0,3.255
128.0,243.0,3.209
128.0,244.0,3.203
128.0,245.0,3.1550000000000002
128.0,246.0,3.269
128.0,247.0,3.293
128.0,248.0,3.202
128.0,249.0,3.2720000000000002
128.0,250.0,3.192
128.0,251.0,3.138
128.0,252.0,3.225
128.0,253.0,0.297
128.0,254.0,3.282
128.0,255.0,3.2800000000000002
128.0,256.0,3.2640000000000002
128.0,257.0,3.281
128.0,258.0,3.114
128.0,259.0,3.219
128.0,260.0,3.283
128.0,261.0,3.152
128.0,262.0,3.277
128.0,263.0,3.281
128.0,264.0,3.218
128.0,265.0,3.136
128.0,266.0,3.235
128.0,267.0,3.249
128.0,268.0,3.189
128.0,269.0,3.294
128.0,270.0,3.271
128.0,271.0,3.223
128.0,272.0,3.237
128.0,273.0,3.22
128.0,274.0,3.212
128.0,275.0,3.198
128.0,276.0,3.278
128.0,277.0,3.279
128.0,278.0,3.207
128.0,279.0,3.189
128.0,280.0,3.258
128.0,281.0,3.246
128.0,282.0,3.172
128.0,283.0,3.271
128.0,284.0,3.18
128.0,285.0,3.145
128.0,286.0,3.215
128.0,287.0,3.269
128.0,288.0,3.218
128.0,289.0,3.149
128.0,290.0,3.226
128.0,291.0,3.2640000000000002
128.0,292.0,3.207
128.0,293.0,3.281
128.0,294.0,3.2880000000000003
128.0,295.0,3.134
128.0,296.0,3.221
128.0,297.0,3.285
128.0,298.0,3.148
128.0,299.0,3.233
128.0,300.0,3.214
128.0,301.0,3.214
128.0,302.0,3.212
128.0,303.0,3.129
128.0,304.0,3.27
128.0,305.0,3.203
128.0,306.0,3.289
128.0,307.0,3.2680000000000002
128.0,308.0,3.154
128.0,309.0,3.209
128.0,310.0,3.232
128.0,311.0,3.22
128.0,312.0,3.1910000000000003
128.0,313.0,3.282
128.0,314.0,3.2800000000000002
128.0,315.0,3.178
128.0,316.0,3.161
128.0,317.0,3.226
128.0,318.0,3.226
128.0,319.0,3.2760000000000002
128.0,320.0,3.2960000000000003
128.0,321.0,3.24
128.0,322.0,3.18
128.0,323.0,3.258
128.0,324.0,3.1910000000000003
128.0,325.0,3.249
128.0,326.0,3.231
128.0,327.0,3.244
128.0,328.0,3.298
128.0,329.0,3.221
128.0,330.0,3.263
128.0,331.0,3.22
128.0,332.0,3.202
128.0,333.0,3.283
128.0,334.0,3.2840000000000003
128.0,335.0,3.293
128.0,336.0,3.222
128.0,337.0,3.221
128.0,338.0,3.196
128.0,339.0,3.19
128.0,340.0,3.258
128.0,341.0,3.289
128.0,342.0,3.208
128.0,343.0,3.2960000000000003
128.0,344.0,3.2640000000000002
128.0,345.0,3.211
128.0,346.0,3.1430000000000002
128.0,347.0,3.232
128.0,348.0,3.315
128.0,349.0,3.2960000000000003
128.0,350.0,3.29
128.0,351.0,3.2800000000000002
128.0,352.0,3.112
128.0,353.0,3.236
128.0,354.0,3.225
128.0,355.0,3.235
128.0,356.0,3.197
128.0,357.0,3.237
128.0,358.0,3.228
128.0,359.0,3.218
128.0,360.0,3.206
128.0,361.0,3.265
128.0,362.0,3.1910000000000003
128.0,363.0,3.2520000000000002
128.0,364.0,3.185
128.0,365.0,3.205
128.0,366.0,3.294
128.0,367.0,3.285
128.0,368.0,3.19
128.0,369.0,3.215
128.0,370.0,3.176
128.0,371.0,3.22
128.0,372.0,3.2720000000000002
128.0,373.0,3.217
128.0,374.0,3.289
128.0,375.0,3.25
128.0,376.0,3.1630000000000003
128.0,377.0,3.2920000000000003
128.0,378.0,3.2640000000000002
128.0,379.0,3.149
128.0,380.0,3.2640000000000002
128.0,381.0,3.212
128.0,382.0,3.209
128.0,383.0,3.153
128.0,384.0,3.211
128.0,385.0,3.225
128.0,386.0,3.277
128.0,387.0,3.273
128.0,388.0,3.291
128.0,389.0,3.156
128.0,390.0,3.234
128.0,391.0,3.25
128.0,392.0,3.1990000000000003
128.0,393.0,3.2
128.0,394.0,3.202
128.0,395.0,3.2880000000000003
128.0,396.0,3.281
128.0,397.0,3.14
128.0,398.0,3.236
128.0,399.0,3.205
128.0,400.0,3.223
128.0,401.0,3.226
128.0,402.0,3.234
128.0,403.0,3.203
128.0,404.0,3.273
128.0,405.0,3.1910000000000003
128.0,406.0,3.205
128.0,407.0,3.157
128.0,408.0,3.231
128.0,409.0,3.273
128.0,410.0,3.1790000000000003
128.0,411.0,3.2880000000000003
128.0,412.0,3.279
128.0,413.0,3.118
128.0,414.0,3.228
128.0,415.0,3.231
128.0,416.0,3.259
128.0,417.0,3.128
128.0,418.0,3.197
128.0,419.0,3.186
128.0,420.0,3.134
128.0,421.0,3.257
128.0,422.0,3.224
128.0,423.0,3.271
128.0,424.0,3.19
128.0,425.0,3.277
128.0,426.0,3.229
128.0,427.0,3.1710000000000003
128.0,428.0,3.224
128.0,429.0,3.267
128.0,430.0,3.213
128.0,431.0,3.281
128.0,432.0,3.282
128.0,433.0,3.215
128.0,434.0,3.148
128.0,435.0,3.2
128.0,436.0,3.23
128.0,437.0,3.152
128.0,438.0,3.313
128.0,439.0,3.294
128.0,440.0,3.206
128.0,441.0,3.233
128.0,442.0,3.233
128.0,443.0,3.211
128.0,444.0,3.149
128.0,445.0,3.232
128.0,446.0,3.192
128.0,447.0,3.189
128.0,448.0,3.297
128.0,449.0,3.283
128.0,450.0,3.182
128.0,451.0,3.278
128.0,452.0,3.2920000000000003
128.0,453.0,3.291
128.0,454.0,3.152
128.0,455.0,3.226
128.0,456.0,3.275
128.0,457.0,3.149
128.0,458.0,3.207
128.0,459.0,3.282
128.0,460.0,3.203
128.0,461.0,3.2840000000000003
128.0,462.0,3.267
128.0,463.0,3.222
128.0,464.0,3.149
128.0,465.0,3.21
128.0,466.0,3.265
128.0,467.0,3.208
128.0,468.0,3.258
128.0,469.0,3.289
128.0,470.0,3.145
128.0,471.0,3.1350000000000002
128.0,472.0,3.198
128.0,473.0,3.207
128.0,474.0,3.15
128.0,475.0,3.3040000000000003
128.0,476.0,3.259
128.0,477.0,3.2840000000000003
128.0,478.0,3.1630000000000003
128.0,479.0,3.1750000000000003
128.0,480.0,3.141
128.0,481.0,3.263
128.0,482.0,3.2760000000000002
128.0,483.0,3.2640000000000002
128.0,484.0,3.289
128.0,485.0,3.1710000000000003
128.0,486.0,3.226
128.0,487.0,3.222
128.0,488.0,3.146
128.0,489.0,3.2680000000000002
128.0,490.0,3.165
128.0,491.0,3.301
128.0,492.0,3.2680000000000002
128.0,493.0,3.295
128.0,494.0,3.197
128.0,495.0,3.205
128.0,496.0,3.218
128.0,497.0,3.265
128.0,498.0,0.28700000000000003
128.0,499.0,3.217
128.0,500.0,3.2720000000000002
128.0,501.0,3.123
128.0,502.0,3.1950000000000003
128.0,503.0,3.202
128.0,504.0,3.211
128.0,505.0,3.271
128.0,506.0,3.277
128.0,507.0,3.19
128.0,508.0,3.149
128.0,509.0,3.269
128.0,510.0,3.1950000000000003
128.0,511.0,3.132
128.0,512.0,3.248
128.0,513.0,3.285
128.0,514.0,3.283
128.0,515.0,3.209
128.0,516.0,3.197
128.0,517.0,3.231
128.0,518.0,3.232
128.0,519.0,3.2640000000000002
128.0,520.0,3.293
128.0,521.0,3.216
128.0,522.0,3.291
128.0,523.0,3.246
