sample,frame_nr,latency [ms]
16.0,0.0,24.055
16.0,1.0,0.323
16.0,2.0,23.375
16.0,3.0,23.998
16.0,4.0,23.991
16.0,5.0,23.377
16.0,6.0,24.012
16.0,7.0,0.321
16.0,8.0,0.313
16.0,9.0,23.999
16.0,10.0,24.037
16.0,11.0,23.976
16.0,12.0,24.015
16.0,13.0,24.04
16.0,14.0,23.976
16.0,15.0,23.444
16.0,16.0,23.995
16.0,17.0,24.025000000000002
16.0,18.0,23.959
16.0,19.0,23.991
16.0,20.0,24.035
16.0,21.0,23.981
16.0,22.0,23.387
16.0,23.0,23.991
16.0,24.0,24.0
16.0,25.0,23.999
16.0,26.0,23.982
16.0,27.0,24.007
16.0,28.0,23.414
16.0,29.0,24.045
16.0,30.0,23.998
16.0,31.0,23.978
16.0,32.0,23.447
16.0,33.0,24.013
16.0,34.0,23.963
16.0,35.0,23.321
16.0,36.0,23.997
16.0,37.0,24.04
16.0,38.0,23.961000000000002
16.0,39.0,23.43
16.0,40.0,24.041
16.0,41.0,24.022000000000002
16.0,42.0,23.361
16.0,43.0,23.98
16.0,44.0,24.028000000000002
16.0,45.0,23.416
16.0,46.0,23.979
16.0,47.0,24.027
16.0,48.0,23.989
16.0,49.0,23.427
16.0,50.0,23.97
16.0,51.0,23.981
16.0,52.0,23.429000000000002
16.0,53.0,23.967
16.0,54.0,23.990000000000002
16.0,55.0,23.367
16.0,56.0,24.046
16.0,57.0,24.062
16.0,58.0,23.972
16.0,59.0,23.438
16.0,60.0,23.997
16.0,61.0,24.032
16.0,62.0,23.365000000000002
16.0,63.0,0.328
16.0,64.0,24.041
16.0,65.0,23.374
16.0,66.0,24.042
16.0,67.0,23.975
16.0,68.0,24.021
16.0,69.0,23.411
16.0,70.0,24.188
16.0,71.0,23.999
16.0,72.0,23.348
16.0,73.0,23.953
16.0,74.0,24.012
16.0,75.0,23.955000000000002
16.0,76.0,24.012
16.0,77.0,23.944
16.0,78.0,23.966
16.0,79.0,23.423000000000002
16.0,80.0,24.117
16.0,81.0,23.971
16.0,82.0,23.969
16.0,83.0,23.422
16.0,84.0,24.009
16.0,85.0,0.291
16.0,86.0,23.978
16.0,87.0,23.989
16.0,88.0,23.431
16.0,89.0,23.992
16.0,90.0,23.988
16.0,91.0,24.047
16.0,92.0,23.965
