sample,frame_nr,latency [ms]
3.0,256.0,0.306
3.0,257.0,0.303
3.0,258.0,0.301
3.0,259.0,0.302
3.0,260.0,0.3
3.0,261.0,0.279
3.0,262.0,0.278
3.0,263.0,0.291
3.0,264.0,0.299
3.0,265.0,0.303
3.0,266.0,0.276
3.0,267.0,0.278
3.0,268.0,0.28400000000000003
3.0,269.0,0.289
3.0,270.0,0.28600000000000003
3.0,271.0,0.28600000000000003
3.0,272.0,1.417
3.0,273.0,0.184
3.0,274.0,0.276
3.0,275.0,0.326
3.0,276.0,0.302
3.0,277.0,0.297
3.0,278.0,0.301
3.0,279.0,0.298
3.0,280.0,0.303
3.0,281.0,0.28400000000000003
3.0,282.0,0.275
3.0,283.0,0.279
3.0,284.0,0.302
3.0,285.0,0.281
3.0,286.0,0.276
3.0,287.0,0.301
3.0,288.0,0.28700000000000003
3.0,289.0,0.278
3.0,290.0,0.28200000000000003
3.0,291.0,0.281
3.0,292.0,0.277
3.0,293.0,0.276
3.0,294.0,0.276
3.0,295.0,0.28
3.0,296.0,0.28500000000000003
3.0,297.0,0.281
3.0,298.0,0.28500000000000003
3.0,299.0,1.5050000000000001
3.0,300.0,0.281
3.0,301.0,0.301
3.0,302.0,0.184
3.0,303.0,0.295
3.0,304.0,0.277
3.0,305.0,0.202
3.0,306.0,0.299
3.0,307.0,0.28
3.0,308.0,0.299
3.0,309.0,0.299
3.0,310.0,0.295
3.0,311.0,0.299
3.0,312.0,0.304
3.0,313.0,0.302
3.0,314.0,0.194
3.0,315.0,0.295
3.0,316.0,0.28
3.0,317.0,0.304
3.0,318.0,0.298
3.0,319.0,0.274
3.0,320.0,0.168
3.0,321.0,0.299
3.0,322.0,0.28
3.0,323.0,1.516
3.0,324.0,0.301
3.0,325.0,0.303
3.0,326.0,0.3
3.0,327.0,0.304
3.0,328.0,0.303
3.0,329.0,0.299
3.0,330.0,0.28600000000000003
3.0,331.0,0.315
3.0,332.0,0.307
3.0,333.0,1.462
3.0,334.0,0.203
3.0,335.0,0.298
3.0,336.0,0.28600000000000003
3.0,337.0,0.296
3.0,338.0,0.306
3.0,339.0,0.428
3.0,340.0,0.305
3.0,341.0,0.303
3.0,342.0,0.304
3.0,343.0,1.566
3.0,344.0,0.313
3.0,345.0,0.303
3.0,346.0,0.276
3.0,347.0,0.292
3.0,348.0,0.298
3.0,349.0,0.3
3.0,350.0,1.425
3.0,351.0,0.29
3.0,352.0,0.28600000000000003
3.0,353.0,0.28500000000000003
3.0,354.0,0.274
3.0,355.0,0.278
3.0,356.0,0.28
3.0,357.0,0.28400000000000003
3.0,358.0,0.28500000000000003
3.0,359.0,0.28
3.0,360.0,1.552
3.0,361.0,0.28400000000000003
3.0,362.0,0.3
3.0,363.0,0.304
3.0,364.0,0.308
3.0,365.0,0.307
3.0,366.0,1.424
3.0,367.0,0.28600000000000003
3.0,368.0,0.3
3.0,369.0,0.28600000000000003
3.0,370.0,0.301
3.0,371.0,0.306
3.0,372.0,0.306
3.0,373.0,0.296
3.0,374.0,0.304
3.0,375.0,0.28
3.0,376.0,0.278
3.0,377.0,0.281
3.0,378.0,0.28500000000000003
3.0,379.0,0.303
3.0,380.0,0.177
3.0,381.0,0.28600000000000003
3.0,382.0,0.294
3.0,383.0,0.275
3.0,384.0,0.28200000000000003
3.0,385.0,0.28500000000000003
3.0,386.0,0.277
3.0,387.0,1.554
3.0,388.0,0.31
3.0,389.0,0.31
3.0,390.0,0.309
3.0,391.0,0.303
3.0,392.0,0.313
3.0,393.0,0.315
3.0,394.0,0.312
3.0,395.0,1.5250000000000001
3.0,396.0,0.316
3.0,397.0,0.304
3.0,398.0,0.315
3.0,399.0,0.28800000000000003
3.0,400.0,1.566
3.0,401.0,0.313
3.0,402.0,0.47500000000000003
3.0,403.0,0.28800000000000003
3.0,404.0,0.314
3.0,405.0,0.316
3.0,406.0,0.317
3.0,407.0,0.28700000000000003
3.0,408.0,0.302
3.0,409.0,0.318
3.0,410.0,0.299
3.0,411.0,0.312
3.0,412.0,0.314
3.0,413.0,0.312
3.0,414.0,0.316
3.0,415.0,0.28600000000000003
3.0,416.0,0.319
3.0,417.0,0.309
3.0,418.0,0.312
3.0,419.0,0.314
3.0,420.0,0.289
3.0,421.0,0.309
3.0,422.0,0.319
3.0,423.0,0.314
3.0,424.0,0.303
3.0,425.0,0.314
3.0,426.0,0.303
3.0,427.0,0.304
3.0,428.0,0.296
3.0,429.0,0.311
3.0,430.0,0.301
3.0,431.0,1.426
3.0,432.0,0.312
3.0,433.0,0.291
3.0,434.0,0.305
3.0,435.0,0.315
3.0,436.0,0.302
3.0,437.0,0.305
3.0,438.0,0.315
3.0,439.0,0.317
3.0,440.0,0.305
3.0,441.0,0.313
3.0,442.0,0.31
3.0,443.0,0.311
3.0,444.0,0.306
3.0,445.0,0.314
3.0,446.0,0.312
3.0,447.0,0.28800000000000003
3.0,448.0,0.317
3.0,449.0,0.309
3.0,450.0,0.313
3.0,451.0,1.586
3.0,452.0,0.289
3.0,453.0,0.305
3.0,454.0,0.313
3.0,455.0,0.32
3.0,456.0,0.28400000000000003
3.0,457.0,0.312
3.0,458.0,0.315
3.0,459.0,0.319
3.0,460.0,0.305
3.0,461.0,1.524
3.0,462.0,0.319
3.0,463.0,0.294
3.0,464.0,0.316
3.0,465.0,0.308
3.0,466.0,0.302
3.0,467.0,0.31
3.0,468.0,0.313
3.0,469.0,0.317
3.0,470.0,0.213
3.0,471.0,0.309
3.0,472.0,0.317
3.0,473.0,0.317
3.0,474.0,0.311
3.0,475.0,0.317
3.0,476.0,0.343
3.0,477.0,0.31
3.0,478.0,0.278
3.0,479.0,0.313
3.0,480.0,0.311
3.0,481.0,0.32
3.0,482.0,0.289
3.0,483.0,0.317
3.0,484.0,0.214
3.0,485.0,0.313
3.0,486.0,0.315
3.0,487.0,0.316
3.0,488.0,0.316
3.0,489.0,0.311
3.0,490.0,0.309
3.0,491.0,0.315
3.0,492.0,0.315
3.0,493.0,0.326
3.0,494.0,0.311
3.0,495.0,0.296
3.0,496.0,0.314
3.0,497.0,0.317
3.0,498.0,0.317
3.0,499.0,1.5150000000000001
3.0,500.0,0.213
3.0,501.0,0.315
3.0,502.0,0.294
3.0,503.0,0.315
3.0,504.0,0.314
3.0,505.0,0.299
3.0,506.0,0.31
3.0,507.0,0.312
3.0,508.0,0.312
3.0,509.0,0.295
3.0,510.0,0.315
3.0,511.0,0.307
3.0,512.0,0.316
3.0,513.0,0.31
3.0,514.0,0.336
3.0,515.0,1.5310000000000001
3.0,516.0,0.314
3.0,517.0,0.31
3.0,518.0,0.304
3.0,519.0,0.299
3.0,520.0,0.313
3.0,521.0,0.313
3.0,522.0,0.32
3.0,523.0,0.323
3.0,524.0,0.315
3.0,525.0,0.316
3.0,526.0,0.393
