frame,# FALSE,% FALSE
383,2005,3.63
38,1589,2.87
405,1728,3.13
114,2136,3.86
232,1803,3.26
419,1648,2.98
60,2732,4.94
328,1906,3.45
320,1303,2.36
358,1311,2.37
95,1225,2.22
443,1629,2.95
370,2580,4.66
53,1100,1.99
249,2414,4.36
179,2420,4.37
518,1564,2.83
226,1027,1.86
502,2188,3.96
93,1426,2.58
269,1938,3.51
71,1266,2.29
406,2094,3.79
524,1807,3.27
465,1983,3.59
282,1827,3.3
217,2064,3.73
25,1546,2.8
351,2419,4.38
492,2175,3.93
401,2207,3.99
428,2102,3.8
292,1813,3.28
138,1373,2.48
102,1607,2.9
301,1426,2.58
284,2689,4.86
257,2167,3.92
65,1918,3.47
346,1849,3.35
469,2247,4.06
160,1917,3.46
100,1708,3.09
303,1957,3.54
372,2427,4.39
115,1836,3.32
413,2567,4.64
408,1414,2.56
297,1596,2.89
15,1578,2.85
283,1362,2.46
207,1556,2.81
264,1485,2.68
140,1735,3.14
195,1594,2.88
233,2041,3.69
475,2148,3.89
382,1758,3.18
308,1782,3.23
224,2135,3.86
124,1599,2.89
488,2367,4.28
58,1201,2.17
511,1891,3.42
159,1271,2.3
281,2578,4.66
132,1059,1.92
28,3037,5.5
12,1257,2.27
334,2190,3.96
321,1338,2.42
262,1795,3.24
345,1301,2.35
51,2252,4.07
467,1774,3.21
378,1512,2.74
337,2177,3.94
14,1447,2.62
357,2850,5.16
250,1374,2.48
471,2281,4.13
76,1525,2.76
167,1260,2.28
27,2001,3.62
330,1681,3.04
498,1481,2.68
48,1857,3.36
202,1683,3.04
258,1933,3.49
389,1236,2.24
505,2740,4.95
163,1664,3.01
390,2906,5.26
144,1225,2.21
111,1448,2.62
158,1696,3.06
333,2286,4.14
101,1667,3.01
204,1581,2.86
186,1861,3.37
5,1764,3.19
223,1720,3.11
521,1563,2.83
24,1886,3.41
86,1618,2.93
208,2396,4.33
174,2267,4.1
501,2227,4.03
70,2019,3.65
215,1062,1.92
203,1534,2.77
387,1761,3.19
353,2031,3.67
450,1331,2.41
221,1781,3.22
8,1322,2.39
437,1454,2.63
504,1535,2.78
243,1701,3.07
146,2003,3.62
92,1544,2.79
40,1870,3.38
54,1856,3.36
274,1820,3.29
379,1189,2.15
473,1834,3.32
16,1560,2.82
480,1231,2.23
235,1157,2.09
242,1813,3.27
490,2413,4.37
35,3031,5.48
99,1896,3.43
470,1160,2.1
85,2330,4.22
393,2020,3.65
464,1574,2.85
57,1638,2.96
412,1997,3.61
447,2227,4.03
280,2663,4.81
391,2047,3.7
236,1479,2.68
47,2272,4.11
78,1693,3.06
240,2368,4.28
331,1537,2.78
83,2404,4.34
513,1799,3.25
286,1660,3.0
500,1192,2.16
375,2821,5.11
194,2066,3.73
123,1584,2.87
277,2289,4.14
290,2085,3.77
296,2585,4.67
384,1467,2.65
525,2003,3.62
166,2161,3.91
169,1639,2.96
211,1870,3.38
2,1786,3.23
