frame,mean error,min,max
219,16.099978242199086,0.0,139.16666666666669
141,17.119327617475502,0.0,154.32638888888889
86,15.937674967387263,0.0,107.16666666666667
446,16.120860336114614,0.0,151.0
94,15.44241602388716,0.0,93.4
35,16.16035139981594,0.0,142.0
491,16.462025752162884,0.0,126.0
243,16.630910262750056,0.0,125.0
463,15.288879171436596,0.0,91.85714285714286
218,15.87853753946356,0.0,176.2
496,16.842732329077368,0.0,181.0
427,16.429933849088112,0.0,114.36842105263159
183,17.33702843776574,0.0,127.8
34,16.104304638098146,0.0,84.25
323,15.924845465652696,0.0,122.16666666666667
330,15.455406644169923,0.0,134.66666666666666
9,15.410585644996411,0.0,126.0
332,16.51181519631837,0.0,102.0
237,16.427306129513468,0.0,110.0
522,16.162930728697262,0.0,125.5
482,16.5725297978784,0.0,93.0
418,15.753829679521283,0.0,100.0
295,16.218846299670986,0.0,124.0
361,16.436785043379345,0.0,93.89186507936508
278,15.61142785466372,0.0,93.0
392,15.366834134991638,0.0,75.0
416,16.095012919232374,0.0,126.0
188,15.669993493838332,0.0,82.66666666666667
165,15.304608239569495,0.0,123.33333333333333
140,15.992447887074597,0.0,140.5
325,15.699090731236907,0.0,111.82851637764932
433,15.507390483282727,0.0,92.6
444,16.348861074618064,0.0,119.0
519,15.478254066497621,0.0,110.66541353383458
212,16.1915255010551,0.0,175.0
123,17.10567932455531,0.0,161.0
285,15.386417881810186,0.0,98.0
206,16.841038833279267,0.0,133.2
460,15.682354361225984,0.0,88.0
106,15.608689875944682,0.0,170.2
292,16.261095354469333,0.0,146.0
391,14.139844937402332,0.0,78.0
447,16.4081116392228,0.0,140.0
20,14.90656225405556,0.0,88.0
410,16.373778440170806,0.0,157.0
149,15.655983273305244,0.0,133.8
481,16.327734266666514,0.0,120.66666666666667
384,14.643879406099883,0.0,84.0
514,16.17151219481254,0.0,126.83333333333333
335,14.660324010317336,0.0,93.82703777335983
189,16.14695070232024,0.0,129.8
489,15.901463671257336,0.0,153.16666666666666
98,15.595654605807864,0.0,122.0
197,15.445641615705766,0.0,94.0
297,16.409936080915816,0.0,252.0
